Date|Type|Difficulty|Priority|Task
14.02.2026|COMPLETE|0|999|Add log functions
14.02.2026|COMPLETE|0|999|Write documentation to project
15.02.2026|COMPLETE|0|999|Move to spring
19.04.2026|COMPLETE|1|999|Make description_n_history text not Varchar(255)
19.04.2026|COMPLETE|0|999|Remove redundant tables like countries_cities
19.04.2026|COMPLETE|1|999|Complete all entities
19.04.2026|TODO|1|2|Make service common interface
20.04.2026|COMPLETE|1|999|Check if i can change enums type in DB and change if i can
24.04.2026|TODO|1|1|Create JSON extraction and creation for every entity
24.04.2026|TODO|4|1|Create photos extraction and insertion for every entity
25.04.2026|COMPLETE|1|999|Make all number fields positive
25.04.2026|COMPLETE|1|999|Add cascade type to all relates
25.04.2026|TODO|1|3|"make ""optional = false"" all manytoone and onetoone relations"
02.05.2026|TODO|3|1|Create way how to form list for popular and recommendations
02.05.2026|TODO|4|100|Create way how to show number of produced cars for brands and concerns for every country
02.05.2026|TODO|3|3|Create way how to form table of variations and its properties
25.04.2026|COMPLETE|1|999|Mark updatable and insertable
